#!,Workbook:,Custom,Custom
#!,Deze gegevens afspelen: open het oorspronkelijke Excel-werkmapbestand, klik op de knop *Gegevensbestand importeren* op het lint *Data Streamer* en navigeer naar dit bestand.,
#!,Ga naar http://aka.ms/hackingstem/ voor meer informatie,,
19426,36448,,
19409,36472,,
19414,36473,,
19434,36491,,
19421,36487,,
19421,36484,,
19413,36450,,
19407,36471,,
19404,36469,,
19454,36509,,
19439,36507,,
19432,36501,,
19492,36588,,
19488,36565,,
19480,36556,,
19417,36515,,
19419,36493,,
19416,36480,,
19426,36499,,
19416,36486,,
19408,36478,,
19396,36406,,
19376,36435,,
19378,36435,,
19357,36429,,
19371,36424,,
19367,36428,,
19500,36545,,
19488,36569,,
19485,36572,,
19516,36579,,
19510,36591,,
19509,36596,,
19458,36502,,
19448,36522,,
19455,36527,,
19348,36365,,
19336,36389,,
19348,36399,,
19420,36492,,
19430,36499,,
19432,36513,,
19418,36451,,
19416,36482,,
19407,36479,,
19424,36457,,
19403,36470,,
19401,36471,,
19399,36465,,
19403,36465,,
19407,36473,,
19416,36504,,
19424,36492,,
19430,36497,,
19384,36461,,
19397,36456,,
19394,36454,,
19339,36410,,
19352,36403,,
19361,36412,,
19265,36338,,
19306,36355,,
19322,36362,,
19368,36428,,
19377,36433,,
19390,36444,,
19419,36516,,
19444,36510,,
19445,36514,,
19383,36467,,
19400,36462,,
19393,36449,,
19062,36040,,
18977,35977,,
18899,35897,,
21106,38477,,
21146,38554,,
21184,38597,,
19569,36654,,
19767,36878,,
19951,37107,,
18393,35345,,
18429,35359,,
18477,35412,,
19216,36265,,
19086,36103,,
18967,35967,,
19994,37139,,
19881,37023,,
19788,36920,,
19859,36982,,
19793,36926,,
19740,36870,,
19826,36951,,
19801,36934,,
19770,36897,,
19502,36614,,
19497,36574,,
19481,36555,,
19556,36648,,
19530,36616,,
19506,36586,,
19424,36527,,
19422,36488,,
19402,36457,,
19390,36484,,
19398,36463,,
19380,36444,,
19376,36395,,
19352,36415,,
19352,36410,,
19386,36423,,
19369,36424,,
19369,36429,,
19371,36419,,
19379,36442,,
19384,36442,,
19382,36385,,
19367,36423,,
19375,36433,,
19427,36470,,
19417,36478,,
19413,36487,,
19417,36448,,
19399,36457,,
19393,36455,,
19367,36453,,
19380,36431,,
19359,36411,,
19372,36426,,
19367,36424,,
19371,36432,,
19408,36423,,
19399,36455,,
19394,36460,,
19377,36409,,
19358,36420,,
19364,36418,,
19365,36448,,
19373,36431,,
19371,36437,,
19406,36422,,
19388,36449,,
19390,36454,,
19429,36490,,
19416,36479,,
19422,36487,,
19408,36417,,
19396,36452,,
19401,36460,,
19420,36495,,
19438,36509,,
19441,36519,,
19425,36505,,
19433,36502,,
19426,36495,,
19416,36467,,
19418,36482,,
19428,36492,,
19375,36393,,
19379,36430,,
19392,36447,,
19413,36497,,
19436,36503,,
19460,36535,,
19538,36646,,
19558,36649,,
19558,36648,,
19480,36550,,
19477,36549,,
19478,36552,,
19381,36465,,
19389,36447,,
19384,36448,,
19384,36455,,
19396,36464,,
19398,36469,,
19364,36399,,
19358,36419,,
19362,36410,,
19396,36422,,
19378,36436,,
19387,36444,,
19396,36474,,
19410,36481,,
19422,36487,,
19392,36395,,
19377,36434,,
19380,36432,,
19388,36436,,
19382,36436,,
19384,36436,,
19371,36457,,
19386,36441,,
19387,36440,,
19365,36437,,
19390,36445,,
19387,36447,,
